City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City,City datetime
55.666667,12.583333,281.06,81,26,2.04,DK,copenhagen,1651351734
12.766667,120.783333,300.29,73,100,1.05,PH,batasan,1651351735
4.926139,-74.17299,288.6,80,85,1.08,CO,subachoque,1651351735
23.183333,-102.483333,303.11,5,0,2.87,MX,banon,1651351736
45.682621,28.614872,282.71,75,5,0.39,UA,bolhrad,1651351737
47.516667,23.75,283.43,79,8,2.71,RO,cernesti,1651351737
16.109167,-97.156111,304.03,44,13,3.55,MX,santos reyes nopala,1651351525
50.478355,14.939416,284.67,71,98,1.54,CZ,bakov nad jizerou,1651351738
45.716667,24.85,280.41,76,18,1.93,RO,lisa,1651351739
28.751944,54.544444,292.5,47,0,0.31,IR,darab,1651351740
-24.95,-53.466667,291.86,91,95,3.19,BR,cascavel,1651351741
8.167222,125.990833,296.28,99,99,0.69,PH,bunawan,1651351741
22.65,76.35,303.77,28,11,4.98,IN,bagli,1651351742
44.626944,20.968056,288.05,76,0,3.47,RS,radinac,1651351743
45.134928,38.125441,284.67,85,99,4.49,RU,troitskaya,1651351744
15.516306,103.193667,299.49,79,100,3.19,TH,phayakkhaphum phisai,1651351744
52.078202,21.250481,286.53,59,100,1.77,PL,karczew,1651351745
-21.3666667,55.6166667,297.36,79,20,3.51,RE,saint-joseph,1651351746
14.9438,120.6229,301.03,84,100,1.62,PH,sasmuan,1651351746
50.361082,14.472342,285.56,46,99,0.89,CZ,melnik,1651351747
58.294584,56.405459,271.81,66,100,1.87,RU,polazna,1651351748
61.316667,22.133333,277.0,76,86,2.03,FI,harjavalta,1651351749
37.9063889,-122.0638889,299.81,56,0,7.72,US,walnut creek,1651351542
-25.2413,-53.983,293.32,85,100,2.16,BR,matelandia,1651351750
53.55,-0.483333,287.55,54,100,3.09,GB,brigg,1651351750
47.233333,10.733333,280.05,96,100,0.5,AT,imst,1651351751
44.383333,23.85,286.14,72,0,2.68,RO,mischii,1651351752
42.3958333,-71.1791667,289.83,43,75,4.63,US,belmont,1651351753
34.95,137.083333,288.21,69,100,5.09,JP,anjo,1651351753
15.6653,120.6406,297.87,84,93,1.77,PH,ramos,1651351754
47.983333,22.516667,285.93,68,41,2.35,HU,fehergyarmat,1651351755
50.183333,8.916667,284.08,81,83,1.34,DE,bruchkobel,1651351755
60.55,12.016667,278.76,48,53,0.78,NO,hof,1651351756
52.9511111,-7.8016667,283.86,94,100,2.54,IE,roscrea,1651351757
11.497,122.696,296.99,92,87,1.18,PH,malocloc,1651351758
51.203012,58.326653,282.54,94,100,3.37,RU,novotroitsk,1651351758
-21.0166667,24.3333333,295.69,34,11,1.04,BW,tsienyane,1651351759
44.466667,-77.3,291.02,21,5,3.03,CA,tweed,1651351760
16.616667,-93.083333,310.45,26,7,2.49,MX,suchiapa,1651351761
35.125,33.95,299.15,44,2,6.11,CY,gazimagusa,1651351761
49.485,11.2475,284.01,81,0,2.57,DE,rothenbach,1651351762
49.656294,18.859105,284.77,84,94,1.72,PL,wisla,1651351763
15.3666667,-87.9333333,306.32,52,40,8.75,HN,la sabana,1651351764
41.0786111,-73.4697222,292.82,26,0,6.69,US,darien,1651351764
-9.516667,-37.183333,298.19,60,98,5.29,BR,olivenca,1651351765
9.9204,124.5051,298.24,88,79,1.16,PH,abaca,1651351766
15.5808,121.2239,297.32,91,100,1.82,PH,siclong,1651351766
49.506871,16.521307,285.94,61,100,1.46,CZ,kunstat,1651351767
48.3166667,18.0833333,286.85,59,98,0.89,SK,nitra,1651351768
7.85,9.783333,301.64,60,100,2.66,NG,wukari,1651351769
34.683611,112.453611,283.57,73,100,1.88,CN,luoyang,1651351769
-22.1833333,27.9666667,292.32,41,3,2.54,BW,sefophe,1651351770
62.1166667,-6.75,278.81,88,62,2.85,FO,strendur,1651351771
33.907268,73.392946,291.06,42,0,4.8,PK,murree,1651351771
51.773859,5.940149,284.19,73,99,2.87,NL,groesbeek,1651351772
-6.9833333,39.2833333,298.07,83,75,1.03,TZ,vikindu,1651351773
51.0,3.983333,283.16,88,13,2.94,BE,wichelen,1651351774
-21.2,-50.416667,301.24,39,94,2.55,BR,aracatuba,1651351774
5.0666667,-54.9666667,304.71,70,11,2.39,SR,brokopondo,1651351775
40.7138889,-73.5594444,293.27,24,0,4.63,US,east meadow,1651351776
18.507456,122.150354,300.43,78,28,4.27,PH,san vicente,1651351776
45.083333,25.416667,280.64,81,82,1.98,RO,pucioasa,1651351777
46.15,25.85,277.65,89,66,1.82,RO,baile tusnad,1651351778
-25.8,-57.233333,294.29,94,97,1.92,PY,carapegua,1651351778
-11.333333,-38.95,296.36,77,96,2.46,BR,araci,1651351779
39.0911111,-94.4152778,289.79,58,100,12.35,US,independence,1651351780
-22.4172,-44.2861,292.2,99,100,0.91,BR,porto real,1651351781
54.1,13.383333,280.97,72,93,2.17,DE,greifswald,1651351781
9.966667,76.583333,300.01,91,72,0.49,IN,muvattupula,1651351782
48.655452,32.520929,282.24,69,96,2.89,UA,subottsi,1651351783
47.383333,27.5,284.86,71,33,0.76,RO,probota,1651351783
59.535315,45.457434,269.44,84,12,2.03,RU,nikolsk,1651351784
6.459444,124.089167,298.42,87,45,1.78,PH,kulaman,1651351785
19.8666667,-71.65,300.46,65,70,9.11,DO,monte cristi,1651351785
59.066667,10.0,281.99,63,100,1.54,NO,larvik,1651351786
30.5959,50.2417,296.46,53,22,1.26,IR,behbahan,1651351787
47.648287,19.829716,285.34,68,30,2.12,HU,csany,1651351788
-7.166667,112.633333,298.91,90,100,2.82,ID,kebomas,1651351788
40.7986111,44.1072222,281.92,90,77,2.19,AM,tsaghkaber,1651351789
8.7,-11.0333333,298.39,73,79,1.26,SL,peyima,1651351790
28.0777778,-82.7638889,300.38,73,75,4.63,US,palm harbor,1651351791
23.266667,77.4,304.93,23,1,5.75,IN,bhopal,1651351739
21.3972222,-157.9733333,300.03,64,75,7.72,US,pearl city,1651351792
16.3871,119.9443,300.99,75,93,4.92,PH,zaragoza,1651351792
55.466667,-4.516667,284.16,93,100,5.14,GB,annbank,1651351793
46.3044444,16.3377778,285.87,24,94,1.31,HR,varazdin,1651351794
41.725,44.7908333,290.44,77,100,5.66,GE,tbilisi,1651351795
51.647731,3.963151,282.58,76,12,4.23,NL,kapelle,1651351795
27.6489,54.316,296.03,43,0,4.12,IR,lar,1651351796
35.416667,137.133333,286.79,90,100,0.98,JP,mitake,1651351797
27.759913,68.092124,307.46,13,0,0.69,PK,miro khan,1651351797
47.357058,7.909101,283.31,96,79,0.89,CH,olten,1651351798
50.503175,14.799517,284.18,71,100,1.31,CZ,bela pod bezdezem,1651351799
41.35,13.416667,289.49,65,38,2.3,IT,fondi,1651351800
9.2666667,-79.1166667,300.33,88,100,1.18,PA,el progreso,1651351800
35.6911111,-0.6416667,288.99,77,0,2.06,DZ,wahran,1651351694
50.583333,3.8,281.98,81,15,2.57,BE,chievres,1651351801
22.7225,88.555556,299.14,69,75,2.06,IN,ula,1651351802
35.3166667,25.2833333,290.0,72,40,6.69,GR,gournai,1651351803
51.516667,-1.783333,285.59,62,100,3.6,GB,swindon,1651351804
50.783333,4.9,282.97,65,100,1.03,BE,hoegaarden,1651351804
39.248889,117.789167,285.17,24,0,4.24,CN,hangu,1651351805
50.201139,14.841773,285.66,70,91,1.92,CZ,lysa nad labem,1651351806
20.166667,-101.683333,307.1,11,64,1.51,MX,angamacutiro,1651351807
-9.544722,16.345278,291.53,78,100,0.33,AO,malanje,1651351807
-3.833333,-62.083333,299.59,84,79,0.77,BR,codajas,1651351808
46.167615,6.119125,284.45,83,20,2.06,CH,plan-les-ouates,1651351809
48.692468,2.610902,285.73,69,0,4.63,FR,brie-comte-robert,1651351810
14.128611,120.905833,297.82,92,95,2.46,PH,mendez,1651351810
5.733333,115.933333,296.98,80,100,1.33,MY,papar,1651351811
47.503174,8.254838,282.75,90,99,1.26,CH,untersiggenthal,1651351812
56.347573,44.193714,273.15,81,70,2.59,RU,bolshoye pikino,1651351812
59.118169,28.091374,274.28,65,91,1.56,RU,slantsy,1651351813
16.7166667,95.9333333,301.22,72,79,0.87,MM,twante,1651351814
56.2,-2.95,283.33,88,75,3.6,GB,lundin links,1651351815
42.9097222,-85.7630556,286.49,66,100,9.83,US,grandville,1651351815
53.533333,-113.916667,285.0,39,75,6.17,CA,spruce grove,1651351816
46.673333,141.863333,275.98,58,79,1.4,RU,nevelsk,1651351817
58.044598,38.842594,272.25,70,13,2.53,RU,rybinsk,1651351817
-13.433333,-40.45,292.18,79,92,2.74,BR,maracas,1651351818
49.477579,20.029205,284.48,79,100,1.41,PL,nowy targ,1651351819
-6.2747222,-79.6041667,303.81,50,85,3.85,PE,salas,1651351820
47.966667,24.0,280.51,87,11,1.67,RO,bocicoiu mare,1651351820
47.983333,8.816667,280.75,79,83,1.58,DE,tuttlingen,1651351821
50.316667,-122.816667,282.05,87,86,0.86,CA,pemberton,1651351822
45.036772,35.377892,285.25,83,100,5.13,UA,feodosiya,1651351823
5.118412,-74.345492,296.82,70,78,1.34,CO,vergara,1651351823
11.4924,119.8703,301.68,78,100,9.39,PH,linapacan,1651351824
11.2434,124.0619,299.85,83,100,5.23,PH,talisay,1651351825
40.628621,-3.161849,292.93,65,93,1.63,ES,guadalajara,1651351826
51.166667,4.316667,283.28,75,0,3.09,BE,kruibeke,1651351826
47.05,25.516667,277.6,93,99,1.17,RO,bilbor,1651351827
45.516667,10.083333,289.94,72,40,1.03,IT,travagliato,1651351828
54.707685,31.409644,276.36,68,57,1.87,RU,gusino,1651351828
25.666667,76.166667,306.3,23,13,2.27,IN,lakheri,1651351829
37.280769,49.58319,289.05,100,100,0.0,IR,rasht,1651351830
42.35,25.0833333,285.83,80,58,1.52,BG,brezovo,1651351831
55.597388,43.7556,272.2,80,5,2.28,RU,chernukha,1651351831
40.921628,-8.467883,286.62,76,1,1.15,PT,milheiros de poiares,1651351832
55.552907,34.995369,273.87,70,30,1.3,RU,gzhatsk,1651351833
18.8,-97.266667,294.2,65,95,3.07,MX,maltrata,1651351833
61.2,6.533333,274.4,96,83,1.12,NO,balestrand,1651351834
47.741478,18.648127,289.32,61,100,1.64,HU,tat,1651351835
-13.0666667,-76.35,296.11,70,40,3.32,PE,imperial,1651351835
26.8,82.2,299.65,55,2,5.85,IN,ayodhya,1651351836
47.283333,23.6,283.84,76,10,1.88,RO,rus,1651351837
40.9688889,-73.7130556,294.08,24,0,6.69,US,harrison,1651351838
41.77,-72.3055556,290.7,30,40,4.63,US,coventry,1651351839
43.275475,46.730775,286.22,92,6,2.63,RU,mutsalaul,1651351839
40.9,16.833333,288.46,67,0,1.54,IT,acquaviva delle fonti,1651351840
42.9763889,-88.1083333,288.88,76,100,8.75,US,new berlin,1651351563
44.750833,43.436944,288.94,64,100,4.04,RU,novoselitskoye,1651351841
39.5094444,-76.1644444,293.36,26,94,3.24,US,aberdeen,1651351842
46.680951,18.439353,287.56,73,95,2.52,HU,pincehely,1651351842
